DESCRIPTION,HASHTAGS,DATE_POSTED,COMMENTS_COUNT,LIKES_COUNT,VIDEO_VIEW_COUNT,COMMENT_TEXT,SENTIMENT
"""Missbrauch überleben: Gespaltene Seele"" 
Sammelband von Melia Rosta
🌸 https://amzn.to/3Kubb1d 🌸 

#Überleben #Selbstfindung #Missbrauch #metoo #PTBS #posttraumatischeBelastungsstörungen #DIS #multiplePersönlichkeitsstörung #DissoziativeStörungen  #Schicksal #Karma #Autobiografie #Esstörung #organisiertesVerbrechen #sexuellerMissbrauch #Trauma #Traumafolgestörung #Gewalt #Psychologie #zerstörtesLeben #Opfer #Verbrechen #EBook #Biografie #unlimited #biografie #schweigenbrechen #kindermissbrauch #sozialkritischebücher #tabuthema","[""#Überleben"",""#Selbstfindung"",""#Missbrauch"",""#metoo"",""#PTBS"",""#posttraumatischeBelastungsstörungen"",""#DIS"",""#multiplePersönlichkeitsstörung"",""#DissoziativeStörungen"",""#Schicksal"",""#Karma"",""#Autobiografie"",""#Esstörung"",""#organisiertesVerbrechen"",""#sexuellerMissbrauch"",""#Trauma"",""#Traumafolgestörung"",""#Gewalt"",""#Psychologie"",""#zerstörtesLeben"",""#Opfer"",""#Verbrechen"",""#EBook"",""#Biografie"",""#unlimited"",""#biografie"",""#schweigenbrechen"",""#kindermissbrauch"",""#sozialkritischebücher"",""#tabuthema""]",2024-02-28,0,3,0,[],neutral
"All great success stories begin with a little risk 🌸 @notjustpretty_x 🩷 
#feminist #feminism #equality #womenempowerment #women #girlpower #love #womensupportingwomen #feminista #feminismo #womensrights #woman #art #metoo #genderequality #prochoice #feministart #humanrights #selflove #intersectionalfeminism #empowerment #equalrights #femaleempowerment #female #memes #strongwomen #feministas","[""#feminist"",""#feminism"",""#equality"",""#womenempowerment"",""#women"",""#girlpower"",""#love"",""#womensupportingwomen"",""#feminista"",""#feminismo"",""#womensrights"",""#woman"",""#art"",""#metoo"",""#genderequality"",""#prochoice"",""#feministart"",""#humanrights"",""#selflove"",""#intersectionalfeminism"",""#empowerment"",""#equalrights"",""#femaleempowerment"",""#female"",""#memes"",""#strongwomen"",""#feministas""]",2024-02-25,0,0,0,[],positive
"❤️ Pernă bumbac personalizată 40x40cm cu poză pe o singură față ❤️
😍  45,00 lei 😍
Cumpără acum 👉  https://shortlink.store/o8sftql4btcp 
#păpușăpersonalizată #metoodoll #papusim #metoodolls #păpușipersonalizate #papușipersonalizate #papusipersonalizate #papusipersonalizatecunume #papusapersonalizata #rucsac #rucsacgradinita #rucsacscoala #rucsăcel #metoo","[""#păpușăpersonalizată"",""#metoodoll"",""#papusim"",""#metoodolls"",""#păpușipersonalizate"",""#papușipersonalizate"",""#papusipersonalizate"",""#papusipersonalizatecunume"",""#papusapersonalizata"",""#rucsac"",""#rucsacgradinita"",""#rucsacscoala"",""#rucsăcel"",""#metoo""]",2024-02-28,0,0,0,[],positive
"Spring begins after tomorrow so the Hunting Season is officially open 🏹👌💘
Shield Maiden of Zion ⚔️🛡️
Laura ⚜️
 ⚜️: First uncensored news in my telegram account link in BIO
#westandwithisrael 
#armygirls
#israeligirl🇮🇱
#israeligirls
#zioness
#warrior
#NeverAgainIsNow 
#ShareTheTruth 
#israelgazawar 
#libra
#libraQueen
#sigma
#SigmaBeauty
#SigmaLady
#metalhead
#sport
#diving
#eilat
#israelwarzone 
#hamashostages 
#israel_vs_terrorism
#israel
#FreeGazaFromHamas 
#stopantisemitism 
#jewishlivesmatter 
#MeToo
#MeTooUnlessYouAreJew
#womenofisrael
#womenabuse
#IDF","[""#westandwithisrael"",""#armygirls"",""#israeligirl🇮🇱"",""#israeligirls"",""#zioness"",""#warrior"",""#NeverAgainIsNow"",""#ShareTheTruth"",""#israelgazawar"",""#libra"",""#libraQueen"",""#sigma"",""#SigmaBeauty"",""#SigmaLady"",""#metalhead"",""#sport"",""#diving"",""#eilat"",""#israelwarzone"",""#hamashostages"",""#israel_vs_terrorism"",""#israel"",""#FreeGazaFromHamas"",""#stopantisemitism"",""#jewishlivesmatter"",""#MeToo"",""#MeTooUnlessYouAreJew"",""#womenofisrael"",""#womenabuse"",""#IDF""]",2024-02-28,1,10,0,"[""How you going to hunt 😂""]",positive
"""El humor de hoy es más difícil. Los standaperos del mundo llevan varios años (desde el #MeToo al menos) intentando sortear la cancelación generacional de una serie de temas que en todos los tiempos fueron usados en sus rutinas. ¿Cómo lo están haciendo para seguir siendo graciosos? Siendo empáticos, no estando enojados, y Slimming lo hace sin parecer eufórico"".

Para leer más encuentra el link en la bio
#Humor #Viña2024 #DonComedia","[""#MeToo"",""#Humor"",""#Viña2024"",""#DonComedia""]",2024-02-28,27,1925,0,"[""Hay que terminar con la mentira colectiva de que ese stand up inocuo, picao a inocente y progre es chistoso. La wea es más fome que la cresta y era."",""Buenissimooo Slimming!!..porfa tirele  unos libretos a la Valdebenito…P’ la Wna fomeeee wn ohhhh !!!"",""Chile tiene los mejores comediantes actualmente. He visto miles en youtube, netflix, hbo etc.. y el nivel de Chile es mucho mas alto"",""Campeon Mundial de los chistes del pyko y lo kokos"",""Interesante""]",neutral
"God didn’t give me daughters. He gave me my best friends. 3 years without my babygirls. Over 5 years post divorce & a lifetime of trauma.

There is a war at home. If only someone knew? 

❤️🤍💙 🤫❤️‍🩹💔

Post separation abuse is a dangerous place. Some of us do not make it out alive. A divorce is only the beginning. After you leave the abuser comes for your children. Family court tortures you & throws you & your children into an invisible cage. 

💜💔🇺🇸❤️🤍💙

#warathome #believesurvivors #familycourtawarenessmonth #metoofamilycourt #america #childabuse #domesticviolence #childabuseawareness #domesticviolencesurvivor #justiceforlaurelandnova #momlife #postseperationabuse #coercivecontrol #divorce #ptsd #humanrights #childrenarenotforsale #familycourt #bigfoot #narcwise #familycourtreform #familycourtcrisis #parentalalienation #babygirl #sanangelo #momlife #trauma #narcissisticabuse #childcustody #divorcinganarcissist","[""#warathome"",""#believesurvivors"",""#familycourtawarenessmonth"",""#metoofamilycourt"",""#america"",""#childabuse"",""#domesticviolence"",""#childabuseawareness"",""#domesticviolencesurvivor"",""#justiceforlaurelandnova"",""#momlife"",""#postseperationabuse"",""#coercivecontrol"",""#divorce"",""#ptsd"",""#humanrights"",""#childrenarenotforsale"",""#familycourt"",""#bigfoot"",""#narcwise"",""#familycourtreform"",""#familycourtcrisis"",""#parentalalienation"",""#babygirl"",""#sanangelo"",""#momlife"",""#trauma"",""#narcissisticabuse"",""#childcustody"",""#divorcinganarcissist""]",2024-02-23,0,13,0,[],negative
"TW/CW: Art depicting struggles with trauma, sexual abuse and assault.
Continued discussion on topics in caption.
.
.
.
CJ (zhey/he/they)
.
.
.
Acrylic Self Portrait
~2010-2014 During Highschool
.
.
My art new my secrets before i was able to process how bad things had been. Art pulling from my subconscious, expressing and processing before my cognitive awareness new the severity of what there was to process.
.
.
.
TW: deeper details into my experience
.
.
Might delete these details later. i am worried how they could be interpreted by predetors. 
.
.

Ive expereinced child sexual abuse from a sibiling from as early as i can remeber till about 10years old. It isnt always obvious.it isnt always an adult. It isnt always a man. It was just normal, it was my life.  I was again then assaulted by my boyfriend at the time around 12years old. I was then coerced and pressured by my boyfriend at the time around 14 years old.  I was then persued and emotionally manipualted into sexual dynamic by a 23 year old man over the internet at 15 years old.  I was then raped by an lgbt+ peer at 16 years old, i didnt  cognitivly realise i had been raped till a year later. It was my normal, it was my life. I was persued by and had a relationship with a 26 year old man at 17. I was raped by an lgbt+  peer in my early 20s (between 19-22). I dont remeber my age at the time as i was also navigating an emotionally and mentally abusive relationship.
.
.
.
I am not ONLY what has happened to me, this is not ALL that has happened to me. But it is a lot, and it has shaped me. Im glad im safe now, im glad ive done the work to discern safe connection. 
.
.
My story is unfortuntly common. 
.
.

#CSA #Trauma #CPTSDRecovery #rapeculture #consentculture  #MeToo","[""#CSA"",""#Trauma"",""#CPTSDRecovery"",""#rapeculture"",""#consentculture"",""#MeToo""]",2024-02-28,0,3,0,[],negative
"Not to brag, but History students have quite a record to defend when it comes to the library’s undergraduate research prizes.
We’re digging thru our archives to post the titles of papers that won prizes. We have a clear memory back at least to @andrewsfleming’s paper in South African history that was well, a while ago, back before the prizes had the Atwood, Schuchard, Rackoff, & Curry titles.
Some more recent winners from our majors or from students who wrote winning papers in History courses, including at @emoryoxford.
<< 
2023
*Harrison Helms, “Shattering the Anti-Catholic Monolith: Religious Toleration in Hanoverian England, 1778-1829” (Hist 411W: Jane Austen’s World).
*Mercedes Sarah, History & English & Creative Writing, “Covert Resistance to #MeToo: The Uptake of Social Change & Public Anxiety in the Men’s Lifestyle Magazine Cover Genre” (Independent Study: English_OX 399R).
<< 
2022
*Luiza Sobreira, BBA major w/ a concentration in Strategy & Management Consulting, “British Women’s Reproductive Habits in the Georgian Era: From Courtship to Contraceptive Methods” (Hist 411W: Jane Austen’s World).
<<
2021
*Ellie Coe, History & Russian & East European Studies major, honorable mention, “Remaking Life Anew: Revolution as Futurist Identity” (Hist 487RW: History & Memory — Facing Up to the Past).
*Maxwell Myerson, honorable mention, “Analysis of the Diffusion of Fake News Regarding the Lincoln Memorial Confrontation of January 18, 2019”(Hist 190: Fake News).
<< 
Stay tuned bc we are just getting started. @emorycollege @emoryuniversity @emoryrosemarbl @emorylibrary @emoryphialphatheta
 @worker_and_kolkhoznitsa @harrison.helms01","[""#MeToo:""]",2024-02-28,1,18,0,"[""😍😍😍😍😍""]",neutral
"Freedom From Domestic Violence and Abuse is Within Reach. 
Call ADV!
1-800-339-7233
www.alternativestodomesticviolence.org
#domesticviolence #domesticabuse #domesticviolenceawareness #emotionalabuse #abuse #narcissisticabuse #narcissist #survivor #gaslighting #toxicrelationships #mentalhealth #ptsd #trauma #healing #divorce #womenempowerment #narcissisticabusesurvivor #women #selflove #sociopath #love #narcissism #domesticviolencesurvivor #manipulation #toxicpeople #abusiverelationship #metoo #abusesurvivor #traumabonding #psychologicalabuse","[""#domesticviolence"",""#domesticabuse"",""#domesticviolenceawareness"",""#emotionalabuse"",""#abuse"",""#narcissisticabuse"",""#narcissist"",""#survivor"",""#gaslighting"",""#toxicrelationships"",""#mentalhealth"",""#ptsd"",""#trauma"",""#healing"",""#divorce"",""#womenempowerment"",""#narcissisticabusesurvivor"",""#women"",""#selflove"",""#sociopath"",""#love"",""#narcissism"",""#domesticviolencesurvivor"",""#manipulation"",""#toxicpeople"",""#abusiverelationship"",""#metoo"",""#abusesurvivor"",""#traumabonding"",""#psychologicalabuse""]",2024-02-28,0,3,0,[],positive
"i’m so sorry that this happened to you it is so disgusting what they did. I’m so glad you submitted in!!

#metoomovement #metoo #timesup #timesupnow #thehearmeproject #activism #feminism #feminist #sasurvivor","[""#metoomovement"",""#metoo"",""#timesup"",""#timesupnow"",""#thehearmeproject"",""#activism"",""#feminism"",""#feminist"",""#sasurvivor""]",2024-02-13,0,5,0,[],positive
"🌸 Ma BD de la semaine 🌸
Est un diptyque manga qui nous emmène auprès de Yuri et Akira
🌸
Elle est une adolescente blasée de 14 ans
Il est un pilote de l'armée de l'air de 20 ans
Par un phénomène mystérieux, Yuri se retrouve en 1945. Recueillie par Mme Tsuru dans son restaurant, Yuri découvre les conditions de vie d'alors, entre privations, restrictions, interdits au nom du patriotisme, les bombardements...
Et surtout, elle fait la connaissance d'Akira et de ses compagnons, qui s'apprêtent à faire le sacrifice de leur vie au nom du Japon
🌸
Romance dramatique, j'ai tout aimé dans cette histoire dont il se dégage beaucoup de douceur malgré des thématiques difficiles et douloureuses: le devoir de mémoire, savoir apprécier la vie qu'on a, garder espoir, l'entraide
Bien que la différence d'âge m'ait questionnée, j'ai aussi apprécié la prévenance (anachronique et post #metoo) dont fait preuve Akira envers Yuri, comme les doutes, croyances et peurs ressentis par ces jeunes hommes
🌸
Chronique complète #surleblog pour la #bddelasemaine
🌸
#manga #surlacollineoùpoussentencorecesfleurs #dokidoki #japon #romance #romancedramatique #coupaucoeur #book #bookstagram #lys #fleurdelys #deuxiemeguerremondiale","[""#metoo)"",""#surleblog"",""#bddelasemaine"",""#manga"",""#surlacollineoùpoussentencorecesfleurs"",""#dokidoki"",""#japon"",""#romance"",""#romancedramatique"",""#coupaucoeur"",""#book"",""#bookstagram"",""#lys"",""#fleurdelys"",""#deuxiemeguerremondiale""]",2024-02-28,0,-1,0,[],positive
"You are strong then you think you are a survivor. We are strong together.  #survivor #nonprofit #justice #ptsd #metoo #trauma #youarenotalone #abuse #advocate #domesticviolence 
#sexualassault #timesup #survivors #emotionalabuse #traumarecovery  #humantrafficking #domesticabuse #rapeculture #assault #consent #childabuse #sexualassault #nomeansno #sexualabuse #believesurvivors #metoomovement #rapevictim #rape #abusesurvivoradvocate","[""#survivor"",""#nonprofit"",""#justice"",""#ptsd"",""#metoo"",""#trauma"",""#youarenotalone"",""#abuse"",""#advocate"",""#domesticviolence"",""#sexualassault"",""#timesup"",""#survivors"",""#emotionalabuse"",""#traumarecovery"",""#humantrafficking"",""#domesticabuse"",""#rapeculture"",""#assault"",""#consent"",""#childabuse"",""#sexualassault"",""#nomeansno"",""#sexualabuse"",""#believesurvivors"",""#metoomovement"",""#rapevictim"",""#rape"",""#abusesurvivoradvocate""]",2024-02-19,0,5,0,[],positive
"As a mentee of Christian Fundamentalist women I was advised to change my clothing: to stop wearing pants, choose denim jumpers instead, and stop wearing panties. When they said a wife is to be always available to her husband, they meant it.

@daniellamyoung_ 

To read the post on The Anti-Fundamentalist visit the link in my bio @tialevingswriter 

Preorder A WELL-TRAINED WIFE anywhere books are sold. 

#tradwife #tradwives #highcontrolgroup #cults #culty #uncultured #religioustrauma #metoo #churchtoo #modestyculture #purityculture #deconstruction #exevangelical #biblicalwomanhood #titus2 #baremarriage #fundies #patriarchy #gilead #handmaidstale #50shousewife #rapeculture #holyunderwear #exmo","[""#tradwife"",""#tradwives"",""#highcontrolgroup"",""#cults"",""#culty"",""#uncultured"",""#religioustrauma"",""#metoo"",""#churchtoo"",""#modestyculture"",""#purityculture"",""#deconstruction"",""#exevangelical"",""#biblicalwomanhood"",""#titus2"",""#baremarriage"",""#fundies"",""#patriarchy"",""#gilead"",""#handmaidstale"",""#50shousewife"",""#rapeculture"",""#holyunderwear"",""#exmo""]",2024-02-16,106,2060,0,"[""I’m proudly ex-Christian and I don’t wear underwear because I just can’t be told what to do anymore.""]",negative
"Perpetrators are not welcome on our campus 

#metoo #metoowashu #washusurvivors #firedybvig #notnobel #econmetoo #washu23 #washu24 #washu25 #washu26 #washu27 #washu28 #washualumni #washumed #washulaw #olinbusinessschool","[""#metoo"",""#metoowashu"",""#washusurvivors"",""#firedybvig"",""#notnobel"",""#econmetoo"",""#washu23"",""#washu24"",""#washu25"",""#washu26"",""#washu27"",""#washu28"",""#washualumni"",""#washumed"",""#washulaw"",""#olinbusinessschool""]",2024-02-28,1,132,0,"[""Just a reminder that all survivors are WashU have free access to our encrypted platform, where they can securely and anonymously enter to find out if their perpetrator harmed someone else 💙""]",negative
"In honor of #TeenDatingViolenceAwarenessMonth we’re answering real questions from real teens who have attended PAVE/Survivors.org presentations.

Today’s Question 💭
Is virginity a construct? A personally defined construct?

Virginity is defined as the state of being where one has never had sexual intercourse. The short answer is, yes, virginity is a social construct. Historically, it has been used to shame others, primarily women, and define their worth as a result of their sexual activity. However, not everyone views the concept this way.

Whether or not you choose to personally use the term virginity is completely up to you, making it a self-defined concept. Keep in mind that we should never impose this on others. For those who do choose to use the concept of virginity for themselves, they may experience additional distress if they have been sexually assaulted. This is one reason why it is very important that we understand that sex and sexual assault are not the same thing. If you do use the concept of virginity for yourself, being sexually assaulted does not mean you have lost your virginity. Sexual assault is an act of violence, not sexual intercourse.

#ShatteringTheSilence #TeenDatingViolenceAwarenessMonth #TeenDatingViolenceAwarenessMonth2024 #TDVAM #TDVAM2024 #CoercionIsNotConsent #ConsentIs #Consent #ConsentIsMandatory #ConsentCulture #EndRapeCulture #Consensual #EndSexualViolence #MeToo #MeTooMovement","[""#TeenDatingViolenceAwarenessMonth"",""#ShatteringTheSilence"",""#TeenDatingViolenceAwarenessMonth"",""#TeenDatingViolenceAwarenessMonth2024"",""#TDVAM"",""#TDVAM2024"",""#CoercionIsNotConsent"",""#ConsentIs"",""#Consent"",""#ConsentIsMandatory"",""#ConsentCulture"",""#EndRapeCulture"",""#Consensual"",""#EndSexualViolence"",""#MeToo"",""#MeTooMovement""]",2024-02-28,1,29,0,"[""Having the REAL conversations! 👏""]",neutral
"Ce lundi 26 février, Karin Viard a pris la parole au micro de « La bande originale » sur France Inter, au sujet des violences sexuelles au cinéma. Elle a salué le courage de Judith Godrèche tout en prônant son intention « que la honte change de camp, que les victimes ne se sentent plus honteuses ». 

#metoo #karinviard #affairedepardieu #judithgodreche #info","[""#metoo"",""#karinviard"",""#affairedepardieu"",""#judithgodreche"",""#info""]",2024-02-27,128,1104,0,"[""👏🙌❤️❤️"",""Encore une  qui voulait a tout prix être actrice 😢"",""Comment leur donner de la crédibilité ? Avoir attendu des décennies pour l’ouvrir ? Et entre temps profiter de ces mêmes salopards? Depardieu est une M.. certes mais ces femmes aujourd’hui qui se réveillent et hurlent aux loups me pose question."",""Ce joindre à Madame Judith Godrèche maintenant lui permet d’acquérir une petite notoriété supplémentaire, Mme Godrèche n’a pas cessé de dire: « je ne vous entends pas », elle était où avant ou lors de la cérémonie des Césars?\nHein?"",""C’est parce que les non injectés boycottent tes films que tu dis ça @karinviard ?"",""T'as eu de la chance finalement Karin, d'autres se sont faites violer.""]",positive
"Destrudo - Hier bekommt dein Trauma eine Stimme. Sämtliche Informationen werden vertraulich behandelt und Anonymität ist die Grundlage unseres Rezepts für die Erleichterung nach der du dich sehnst. 
#EndTheSilence
#SurvivorsSpeak
#BreakTheCycle
#HealingJourney
#SupportSurvivors
#EmpowerSurvivors
#BelieveSurvivors
#SpeakOut
#MeTooMovement
#NotAlone","[""#EndTheSilence"",""#SurvivorsSpeak"",""#BreakTheCycle"",""#HealingJourney"",""#SupportSurvivors"",""#EmpowerSurvivors"",""#BelieveSurvivors"",""#SpeakOut"",""#MeTooMovement"",""#NotAlone""]",2024-02-28,0,3,0,[],positive
"FREE FILM & POPCORN 
.
She Said
The film about how the #MeToo movement began that features @chiu_rowena’s story. Rowena will be with us in person Saturday at the @collectivehealingpdx event. Make sure to register for the event! Link in bio.

She Said Screening 
Thursday, Feb 29th
7pm
Free popcorn 🍿 
Free and open to the public 
@westhillscovenant","[""#MeToo""]",2024-02-28,0,7,0,[],positive
"The mothers of the United States, hereby submit this Demand for Order to Show Cause. This demand is made in pursuit of judicial intervention to address and amend the significant systemic failings within the U.S. family court system—failings that have detrimentally affected the lives and well-being of children and families nationwide. Central to our demand is the call for comprehensive reforms that align the operations of the family court system with its fundamental commitments to fairness, equity, and the paramountcy of children’s best interests.

Through this demand, we call upon the United States of America, the Respondent, to demonstrate cause why it has not undertaken necessary and urgent reforms within the family court system to eliminate procedural inefficiencies, biases, and a lack of transparency that undermine the justice and equity these courts are entrusted to deliver. #familycourt #childrensrights #usa #humanrightswatch #womensrightsarehumanrights✊ #metoofamilycourt #protectivemothersrevolution #usconstitution #uscongress #unitedstates #shadowpandemic #domesticviolenceawarenessmonth💜 #timesup","[""#familycourt"",""#childrensrights"",""#usa"",""#humanrightswatch"",""#womensrightsarehumanrights✊"",""#metoofamilycourt"",""#protectivemothersrevolution"",""#usconstitution"",""#uscongress"",""#unitedstates"",""#shadowpandemic"",""#domesticviolenceawarenessmonth💜"",""#timesup""]",2024-02-28,7,45,0,"[""@metoomoms_florida"",""I volunteer as tribute!!!! 🙌🔥👏"",""Can I join this ?!?"",""🔥👏🙌❤ Yes and Yes! How do we submit this and to whom?""]",neutral
"Today, let’s shed light on a grave issue that affects millions of lives worldwide: Human Trafficking. As we observe National Human Trafficking Awareness Day, it’s crucial to educate ourselves about this heinous crime and work together to combat it. 

Signs to watch for:

💜 Physical Manifestations: Look out for signs of physical abuse, malnourishment, extreme fatigue, or untreated medical conditions.
 💜 Absence of Autonomy: Individuals may have limited or no access to personal identification documents, money, or personal belongings, indicating a lack of control over their own lives.
 💜 Communication Restrictions: Victims may be prohibited from speaking for themselves or have limited interaction with others. Their communication may be closely monitored or controlled.
 💜 Unconventional Work Situations: Pay attention to individuals who work excessively long hours, reside at their workplace, or display signs of indebtedness to their employer.
💜 Behavioural Clues: Victims may exhibit fearful, anxious, depressed, submissive, tense, or nervous/paranoid behavior. They may also avoid making eye contact.
💜 Inconsistencies in Narratives: Be cautious of individuals who struggle to clarify their current living arrangements or provide inconsistent explanations about how they ended up in their present circumstances.
 💜 Lack of Familiarity with Location or Date: Victims may not know the city they are in, their place of residence, or even the current date.
💜 Suspicious Financial Practices: Pay attention if someone else controls their finances or if they possess unexplained significant debts.

#humantrafficking
#endhumantrafficking
#humantraffickingawarenessday
#nationalhumantraffickingawarenessday
#humantraffickingawareness
#notforsale
#womenabuse
#VAW 
#endvaw 
#endviolenceagainstwomen
#haltonregion
#intimatepartnerviolence
#IPV
#women
#endsexualviolence
#survivors 
#genderbasedviolence 
#gofundme
#safe
#trauma
#ptsd 
#consent
#sexualabuse
#physicalabuse
#metoo 
#domesticviolence 
#domesticviolencesurvivor 
#sexualassault 
#rapesurvivor 
#livedexperience","[""#humantrafficking"",""#endhumantrafficking"",""#humantraffickingawarenessday"",""#nationalhumantraffickingawarenessday"",""#humantraffickingawareness"",""#notforsale"",""#womenabuse"",""#VAW"",""#endvaw"",""#endviolenceagainstwomen"",""#haltonregion"",""#intimatepartnerviolence"",""#IPV"",""#women"",""#endsexualviolence"",""#survivors"",""#genderbasedviolence"",""#gofundme"",""#safe"",""#trauma"",""#ptsd"",""#consent"",""#sexualabuse"",""#physicalabuse"",""#metoo"",""#domesticviolence"",""#domesticviolencesurvivor"",""#sexualassault"",""#rapesurvivor"",""#livedexperience""]",2024-02-22,0,-1,0,[],negative
"Can you imagine if all bouncers did this at bars, clubs & pubs?!?! 

🍺Fun Fact: 66% of women are more likely to drink at a venue that has safety initiatives in place.

📣 What do you wish these owners & staff would do to make their establishments safer, so you can enjoy your night out free of harassment and unsafe situations? List them in the comments 👇👇👇

.⁠
.⁠
.⁠
.⁠
.⁠
.⁠
#feminist #feminism #smashthepatriarchy #metoo #endrapeculture #rapeculture #rapesurvivor #believewomen #stoprapeculture #endviolenceagainstwomen #womensrights #stopviolenceagainstwomen #consent #sexualassault #andrewtate #sexualabuse #nomeansno #metoomovement #supportwomen #supportsurvivors #mybodymychoice #sexualassaultawareness #whyididntreport #stopvictimblaming #notaskingforit #narcissisticabuse  #gaslighting #redflags #notallmen⁠","[""#feminist"",""#feminism"",""#smashthepatriarchy"",""#metoo"",""#endrapeculture"",""#rapeculture"",""#rapesurvivor"",""#believewomen"",""#stoprapeculture"",""#endviolenceagainstwomen"",""#womensrights"",""#stopviolenceagainstwomen"",""#consent"",""#sexualassault"",""#andrewtate"",""#sexualabuse"",""#nomeansno"",""#metoomovement"",""#supportwomen"",""#supportsurvivors"",""#mybodymychoice"",""#sexualassaultawareness"",""#whyididntreport"",""#stopvictimblaming"",""#notaskingforit"",""#narcissisticabuse"",""#gaslighting"",""#redflags"",""#notallmen⁠""]",2023-10-28,41,14704,0,"[""👏👏👏👏👏👏👏"",""This is the energy we need in every bar"",""@tinder can this be a requirement to create an account with you too 🙄"",""omg fantastic thank you and may this spread please 🙏😭"",""I wish bartenders would stop overserving their “friends”. It’s a bartenders job to keep people safe by cutting people off when they see someone’s had too much ( check the Basset Test )! But when they decide to let certain people blackout drunk, that’s not friendly, that’s careless and unsafe~"",""👏🏾👏🏾👏🏾"",""This should be mandatory everywhere.""]",positive
"Let's talk about women's rights?
- https://bit.ly/4bDxqNS
- https://bit.ly/44W7J7y
- https://bit.ly/3PRLcE5
- https://bit.ly/3SAZsAY
Must See! -> https://bit.ly/1TheBruceShirts
.
#nextmonth #WomensRights
#GenderEquality
#Feminism
#EmpowerWomen
#EqualityForAll
#WomenEmpowerment
#HeForShe
#TimesUp
#MeToo
#GenderJustice
#EqualRights
#HerStory
#BreakTheGlassCeiling
#WomenInLeadership
#WomenSupportingWomen","[""#nextmonth"",""#WomensRights"",""#GenderEquality"",""#Feminism"",""#EmpowerWomen"",""#EqualityForAll"",""#WomenEmpowerment"",""#HeForShe"",""#TimesUp"",""#MeToo"",""#GenderJustice"",""#EqualRights"",""#HerStory"",""#BreakTheGlassCeiling"",""#WomenInLeadership"",""#WomenSupportingWomen""]",2024-02-18,0,1,0,[],neutral
"Ah ces bonnes femmes !!!

Ne te plains pas de l’avenir, tu n’en as aucun

#textilart #broderie #broderiemain #embroidery #embroideryart #bonnesfemmes #onvouscroit #metoo #rosietheriveter","[""#textilart"",""#broderie"",""#broderiemain"",""#embroidery"",""#embroideryart"",""#bonnesfemmes"",""#onvouscroit"",""#metoo"",""#rosietheriveter""]",2024-02-28,0,19,0,[],negative
"#moiaussi tant qu’il le faudra !

C’est avec beaucoup d’amertume et de déception face au système judiciaire que nous prenons position par rapport à la peine de 12 mois avec surcis accordée à Francis Saumure, coupable d’agression sexuelle sur une femme intoxiquée. Saumure reçoit une peine que l’on juge non proportionnelle à la gravité et la violence du crime commis.

Comme dénoncé par nos allié·es les CALACS, c’est un « recul en matière de lutte contre les violences sexuelles », explique Kathleen Godmer, coordonnatrice du CALACS Vallée-de-la-Gatineau.

Nous considérons que c’est une violence systémique faite aux victimes de violence sexuelle qui auraient besoin de soutien de la part du système de justice. 
Au lieu de nuire à la confiance des victimes qui doivent déjà composer avec plusieurs obstacles à la dénonciation, brisons le silence pour s’inscrire dans un mouvement qui refuse de tolérer les violences à caractère sexuel.

En support aux victimes, nous invitons toute notre communauté à militer pour faire changer le Code criminel afin de rendre inadmissibles les peines d’emprisonnement dans la collectivité en cas d’agression sexuelle pour protéger la collectivité et ne pas minimiser cet acte criminel immoral.

#MoiAussi #MeToo #TimesUp #FemmesSolidaires #StopViolencesFemmes #CestNon #EverydaySexism #CPIVAS #cpivaslaval","[""#moiaussi"",""#MoiAussi"",""#MeToo"",""#TimesUp"",""#FemmesSolidaires"",""#StopViolencesFemmes"",""#CestNon"",""#EverydaySexism"",""#CPIVAS"",""#cpivaslaval""]",2024-02-19,0,13,0,[],negative
